Wavenumber [1/cm],A,B,C
1398.434502,0.119782261,0.097476643,0.06256325
1394.705343,0.12229455,0.113418555,0.06911116
1390.976184,0.130422604,0.105271487,0.08373177
1387.247026,0.150745848,0.08319281,0.12361141
1383.517867,0.18743107,0.066050848,0.20407464
1379.788708,0.206905163,0.057297555,0.26295274
1376.05955,0.175886232,0.052827164,0.20996655
1372.330391,0.134840593,0.050271697,0.12990927
1368.601232,0.113743644,0.048516935,0.09028908
1364.872074,0.10468904,0.04686977,0.07383946
1361.142915,0.099102181,0.046115814,0.06520057
1357.413756,0.093156205,0.045778317,0.06079825
1353.684598,0.08801803,0.04568663,0.05935157
1349.955439,0.084131383,0.046224184,0.06004479
1346.22628,0.081148229,0.046392939,0.06684426
1342.497122,0.079154499,0.046088074,0.07326362
1338.767963,0.079258829,0.046164449,0.06659195
1335.038804,0.080060863,0.04635847,0.05528458
1331.309646,0.079307673,0.046658845,0.04773182
1327.580487,0.076392431,0.047516864,0.04260016
1323.851328,0.074389015,0.048595144,0.03948001
1320.12217,0.07526427,0.050056974,0.03891539
1316.393011,0.078239434,0.051840928,0.04120611
1312.663852,0.077888156,0.053459761,0.04638789
1308.934694,0.073317734,0.053960689,0.05172248
1305.205535,0.069459646,0.052800541,0.05492903
1301.476376,0.067347833,0.050848244,0.05473972
1297.747218,0.065343584,0.049480802,0.04935965
1294.018059,0.062809502,0.048409095,0.04242262
1290.2889,0.061363616,0.047682038,0.0394073
1286.559742,0.061091853,0.047402831,0.04083686
1282.830583,0.061005781,0.046971106,0.04432646
1279.101424,0.060774811,0.046872138,0.04487173
1275.372266,0.060624789,0.047363315,0.0412284
1271.643107,0.059656685,0.047895088,0.03713017
1267.913948,0.058909973,0.048699418,0.03353023
1264.18479,0.058625439,0.050157577,0.03019901
1260.455631,0.059639322,0.052831457,0.02727324
1256.726472,0.06252163,0.057685256,0.02501196
1252.997314,0.066834446,0.063091888,0.02347467
1249.268155,0.068573461,0.065043002,0.02292597
1245.538996,0.066605962,0.062681003,0.0241971
1241.809838,0.062814803,0.058914706,0.02792046
1238.080679,0.060321385,0.056680807,0.03272694
1234.35152,0.059699125,0.0565214,0.03372153
1230.622362,0.060033302,0.056796711,0.02890142
1226.893203,0.060743384,0.056846632,0.02425021
1223.164044,0.062713004,0.057217826,0.02293969
1219.434885,0.067408096,0.057906113,0.02380985
1215.705727,0.080563791,0.058929255,0.02562581
1211.976568,0.096401308,0.061068699,0.02833057
1208.247409,0.094089651,0.064260964,0.02996182
1204.518251,0.083737744,0.067810471,0.02911103
1200.789092,0.082047218,0.071243317,0.02737353
1197.059933,0.085721432,0.07525628,0.02491424
1193.330775,0.087950727,0.081166838,0.02258381
1189.601616,0.091031455,0.090379401,0.02133643
1185.872457,0.105962577,0.102759433,0.02080839
1182.143299,0.140034222,0.115428883,0.02061571
1178.41414,0.152259397,0.123667984,0.02101009
1174.684981,0.125334318,0.122387769,0.02191892
1170.955823,0.103202631,0.112831093,0.02366711
1167.226664,0.098071852,0.102428329,0.02626936
1163.497505,0.102204977,0.095792924,0.02823003
1159.768347,0.107845916,0.092505185,0.02841364
1156.039188,0.108046825,0.091935216,0.02874441
1152.310029,0.100642189,0.093470189,0.03059928
1148.580871,0.091291705,0.093553618,0.03423115
1144.851712,0.084734142,0.089931836,0.04045036
1141.122553,0.081198777,0.08353608,0.047698
1137.393395,0.078835769,0.076569171,0.05028201
1133.664236,0.078041897,0.070953766,0.04444356
1129.935077,0.077425517,0.0665042,0.0345079
1126.205919,0.076122722,0.062780854,0.0267974
1122.47676,0.075368089,0.060032768,0.02271201
1118.747601,0.078030479,0.058010652,0.02070466
1115.018443,0.089353641,0.056653489,0.01979641
1111.289284,0.113472383,0.056045272,0.01906002
1107.560125,0.132199872,0.055340826,0.01818549
1103.830967,0.126726231,0.054346931,0.01799339
1100.101808,0.113531786,0.053480032,0.01892689
